Sno.,Purchase Id,Invoice No,Pur.Date,Supplier,Barcode,Category,Item,HSN Code,Tax Type,GST (%),Size,Colour,QTY - ST,Total Qty,Purchase Rate,Disc1(%),Disc1(Rs),Taxable Value,Total Tax,Total Purchase Rate,MRP,Rate
138,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD38,Apparel,Hoodies,61102000,EX-TAX,5,38,Gray,16,16,485,0,0,7760,388,8148,780,780
139,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD40,Apparel,Hoodies,61102000,EX-TAX,5,40,Gray,6,6,500,0,0,3000,150,3150,800,800
140,149,KA 23-24 175,24/11/2023,Karthi Apparels,HD42,Apparel,Hoodies,61102000,EX-TAX,5,42,Gray,7,7,520,0,0,3640,182,3822,830,830
89,88,032/2022-2023,27/07/2022,Dristi Associates,US26,Apparel,Uniform Shorts,,INC-TAX,5,26,Blue,70,70,300,0,0,20000,1000,21000,480,480
90,88,032/2022-2023,27/07/2022,Dristi Associates,US28,Apparel,Uniform Shorts,,INC-TAX,5,28,Blue,105,105,310,0,0,31000,1550,32550,490,490
91,88,032/2022-2023,27/07/2022,Dristi Associates,US30,Apparel,Uniform Shorts,,INC-TAX,5,30,Blue,175,175,310,0,0,51666.66,2583.34,54250,490,490
92,88,032/2022-2023,27/07/2022,Dristi Associates,US32,Apparel,Uniform Shorts,,INC-TAX,5,32,Blue,81,81,320,0,0,24685.72,1234.28,25920,510,510
93,89,040/2022-2023,08 November 2022,Dristi Associates,US20N,Apparel,Uniform Shorts,,EX-TAX,5,20,Blue,27,27,300,0,0,8100,405,8505,450,450
94,89,040/2022-2023,08 November 2022,Dristi Associates,US22N,Apparel,Uniform Shorts,0,EX-TAX,5,22,Blue,33,33,300,0,0,9900,495,10395,470,470
95,89,040/2022-2023,08 November 2022,Dristi Associates,US24N,Apparel,Uniform Shorts,,EX-TAX,5,24,Blue,50,50,300,0,0,15000,750,15750,480,480
96,90,052/2022-2023,09 March 2022,Dristi Associates,UJ24,Apparel,Jeans 24,,INC-TAX,5,24,Blue,44,44,565,0,0,23676.2,1183.8,24860,750,750
130,109,039/2022-2023,08 October 2022,Dristi Associates,Kur22B,Apparel,Blue Kurta,0,EX-TAX,5,22,Blue,5,5,230,0,0,1150,57.5,1207.5,350,350
131,109,039/2022-2023,08 October 2022,Dristi Associates,Kur24B,Apparel,Blue Kurta,0,EX-TAX,5,24,Blue,35,35,265,0,0,9274.99,463.76,9738.75,360,360
137,109,039/2022-2023,08 October 2022,Dristi Associates,Kur24G,Apparel,Green Kurta,0,EX-TAX,5,24,Green,1,1,265,0,0,265.01,13.24,278.25,360,360
113,108,026/2022-23,16/07/2022,Dristi Associates,Kur26B,Apparel,Blue Kurta,,EX-TAX,5,26,Blue,100,100,275,0,0,27500,1375,28875,370,370
119,108,026/2022-23,16/07/2022,Dristi Associates,Kur26G,Apparel,Green Kurta,0,EX-TAX,5,26,Green,3,3,275,0,0,825.01,41.24,866.25,370,370
138,109,039/2022-2023,08 October 2022,Dristi Associates,Kur26G,Apparel,Green Kurta,0,EX-TAX,5,26,Green,71,71,275,0,0,19525.01,976.24,20501.25,370,370
147,131,165/2022-23,17/03/2023,Dristi Associates,Kur26B,Apparel,Blue Kurta,,EX-TAX,5,26,Blue,80,80,275,0,0,22000,1100,23100,390,390
157,131,165/2022-23,17/03/2023,Dristi Associates,Kur26G,Apparel,Green Kurta,0,EX-TAX,5,26,Green,140,140,275,0,0,38500,1925,40425,390,390
105,108,026/2022-23,16/07/2022,Dristi Associates,UJ24,Apparel,Jeans,0,EX-TAX,5,24,Blue,32,32,565,0,0,18080,904,18984,750,750
106,108,026/2022-23,16/07/2022,Dristi Associates,UJ26,Apparel,Jeans,,EX-TAX,5,26,Blue,154,154,590,0,0,90860,4543,95403,770,770
107,108,026/2022-23,16/07/2022,Dristi Associates,UJ28,Apparel,Jeans,,EX-TAX,5,28,Blue,184,184,600,0,0,110400,5520,115920,790,790
108,108,026/2022-23,16/07/2022,Dristi Associates,UJ30,Apparel,Jeans,,EX-TAX,5,30,Blue,220,220,630,0,0,138600,6930,145530,830,830
